user_request,Happy,Funny,Rhyming_Poem,Heartfelt,Short_and_Simple,Inspirational,Professional,Friend,Boss,Best-Friend,Wife,Husband,Girlfriend,Boyfriend,Father,Mother,Son,Daughter,Grandfather,Grandmother,request_id
Please help with a brief yet funny birthday wish for my granddad.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Can you write a sentimental birthday message for my father?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Create a delighted birthday greeting for my boss.,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"Can you write a poetic, professional birthday message for my grandpa?",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Can you write a professional birthday message for my missus?,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5
"Can you write a sincere, formal birthday message for my supervisor?",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Please help me with a verse birthday wish for my missus.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
Help me wish my supervisor a funny birthday.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
Help me wish my mama a poetry birthday.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9
Please help me with a joyful birthday wish for my dad.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
I would like a joyful birthday message for my chum.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
I would like a brief birthday message for my son.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
I need a sincere birthday wish for my girlfriend.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
Help me wish my chief a funny birthday.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14
"Need a blissful, motivational, and business-like birthday wish for my papa.",1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15
Please help me with a joyful birthday wish for my best friend.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16
"Need a uplifting, hilarious, and rhyme birthday wish for my hubby.",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17
I need a straightforward and corporate birthday wish for my mom.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18
Give me a cheerful birthday wish for my BF.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19
Can you write a straightforward birthday message for my princess?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20
Create a happy birthday greeting for my pal.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21
I need a brief birthday wish for my sweetheart.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22
Create a professional birthday greeting for my grandpa.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23
Please help with a witty yet moving birthday wish for my granddad.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24
I need a inspirational and blissful birthday wish for my husband.,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25
