user_request,Happy,Funny,Rhyming_Poem,Heartfelt,Short_and_Simple,Inspirational,Professional,Friend,Boss,Best-Friend,Wife,Husband,Girlfriend,Boyfriend,Father,Mother,Son,Daughter,Grandfather,Grandmother,request_id
"Can you write a corporate, concise birthday message for my girlfriend?",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6253
Please help with a inspirational yet short birthday wish for my supervisor.,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4685
Please help me with a amusing birthday wish for my mama.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1732
Looking for a poetic birthday wish for my grandpa.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4743
Create a joyful birthday greeting for my mama.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4522
Can you write a delighted birthday message for my grandma?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6341
"Can you write a sentimental, delighted birthday message for my mother?",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,577
I need a short and blissful birthday wish for my boyfriend.,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5203
Help me wish my boyfriend a empowering birthday.,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6364
Give me a sincere birthday wish for my grandfather.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,440
I need a straightforward birthday wish for my grandmother.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2751
Give me a rhyme birthday wish for my son.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7488
"Need a poetic, emotional, and formal birthday wish for my mother.",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5273
I would like a straightforward birthday message for my boss.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5654
I need a business-like and cheerful birthday wish for my lass.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4000
I want a blissful birthday message for my darling.,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6034
Looking for a poetic with some happy elements birthday wish for my missus.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,583
Looking for a sentimental birthday wish for my boyfriend.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9931
Looking for a rhyming poem birthday wish for my wife.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7052
"Need a professional, hilarious, and sincere birthday wish for my daughter.",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8159
Can you write a rhyme birthday message for my princess?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9897
Looking for a cheerful birthday wish for my junior.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2250
I need a long and witty birthday wish for my mama.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4641
I want a emotional birthday message for my mama.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9486
Please help with a professional yet stanza birthday wish for my soulmate.,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4948
Please help with a business-like yet poetic birthday wish for my GF.,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9921
Looking for a touching with some witty elements birthday wish for my chum.,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1964
"Need a moving, witty, and witty birthday wish for my lad.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8244
"Can you write a short, delighted birthday message for my lass?",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6591
Looking for a rhyme with some delighted elements birthday wish for my granddad.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8848
Can you write a blissful birthday message for my friend?,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,322
I want a hilarious birthday message for my girlfriend.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2679
Please help with a poetry yet touching birthday wish for my GF.,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4626
Looking for a office birthday wish for my GF.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4950
Help me wish my darling a office birthday.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8329
Please help me with a delighted birthday wish for my mom.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3338
Looking for a encouraging with some professional elements birthday wish for my confidant.,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5590
Please help with a rhyming poem yet funny birthday wish for my lad.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,252
Please help with a professional yet emotional birthday wish for my pal.,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3974
Can you write a rhyme birthday message for my missus?,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6631
I want a funny birthday message for my grandma.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5548
Give me a formal birthday wish for my dad.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,36
I would like a blissful birthday message for my GF.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8363
"Can you write a happy, sentimental birthday message for my chief?",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1514
"Can you write a rhyme, touching birthday message for my darling?",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9318
I need a inspirational and witty birthday wish for my darling.,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40
Looking for a rhyme with some encouraging elements birthday wish for my nana.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4820
Can you write a blissful birthday message for my chum?,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3466
"Can you write a concise, heartfelt birthday message for my grandfather?",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1761
I need a amusing birthday wish for my soulmate.,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2305
Looking for a stanza with some uplifting elements birthday wish for my nana.,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3724
"Need a humorous, office, and office birthday wish for my junior.",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8285
Help me wish my confidant a office birthday.,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4994
Looking for a funny with some motivational elements birthday wish for my supervisor.,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8128
Please help me with a rhyme birthday wish for my groom.,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3033
Please help with a poetry yet merry birthday wish for my grandfather.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7939
